region,fornitore,sesso_maschile,sesso_femminile,prima_dose,seconda_dose,population,no_tweets,no_lowcred_tweets,no_highcred_tweets,frac_low,frac_high,no_accounts,modified_acceptance,hesitant_sideeffects
Abruzzo,Janssen,9080,7618,16698,0,1293941,10.906130755532944,0.1974052403968456,0.7430679216484355,0.007422067485690249,0.07827261667515836,3931,88.8414136168444,11.226762698412697
Abruzzo,Moderna,35034,42413,48362,29085,1293941,10.906130755532944,0.1974052403968456,0.7430679216484355,0.007422067485690249,0.07827261667515836,3931,88.8414136168444,11.226762698412697
Abruzzo,Pfizer/BioNTech,263065,329532,367504,225093,1293941,10.906130755532944,0.1974052403968456,0.7430679216484355,0.007422067485690249,0.07827261667515836,3931,88.8414136168444,11.226762698412697
Abruzzo,Vaxzevria (AstraZeneca),91565,107599,163707,35457,1293941,10.906130755532944,0.1974052403968456,0.7430679216484355,0.007422067485690249,0.07827261667515836,3931,88.8414136168444,11.226762698412697
Basilicata,Janssen,4486,3449,7935,0,553254,20.6875,0.6019021739130435,1.298913043478261,0.00913260772806241,0.05030458074988194,736,88.57173489331501,9.991129098360654
Basilicata,Moderna,16089,18153,18212,16030,553254,20.6875,0.6019021739130435,1.298913043478261,0.00913260772806241,0.05030458074988194,736,88.57173489331501,9.991129098360654
Basilicata,Pfizer/BioNTech,117703,142167,155289,104581,553254,20.6875,0.6019021739130435,1.298913043478261,0.00913260772806241,0.05030458074988194,736,88.57173489331501,9.991129098360654
Basilicata,Vaxzevria (AstraZeneca),31514,32253,56293,7474,553254,20.6875,0.6019021739130435,1.298913043478261,0.00913260772806241,0.05030458074988194,736,88.57173489331501,9.991129098360654
Calabria,Janssen,24370,18291,42661,0,1894110,15.078352586639879,0.21898543445504773,0.7508789552988449,0.007207179974756537,0.043780238409426325,1991,87.74814221656766,12.658504511278199
Calabria,Moderna,51250,61597,73618,39229,1894110,15.078352586639879,0.21898543445504773,0.7508789552988449,0.007207179974756537,0.043780238409426325,1991,87.74814221656766,12.658504511278199
Calabria,Pfizer/BioNTech,371471,433662,493362,311771,1894110,15.078352586639879,0.21898543445504773,0.7508789552988449,0.007207179974756537,0.043780238409426325,1991,87.74814221656766,12.658504511278199
Calabria,Vaxzevria (AstraZeneca),117980,98309,195292,20997,1894110,15.078352586639879,0.21898543445504773,0.7508789552988449,0.007207179974756537,0.043780238409426325,1991,87.74814221656766,12.658504511278199
Campania,Janssen,51466,38968,90434,0,5712143,16.445363517631694,0.22028733130169786,1.4671310404875926,0.004971950816839556,0.04986923012048791,6891,88.42596630615027,13.560927372262773
Campania,Moderna,168095,205481,280753,92823,5712143,16.445363517631694,0.22028733130169786,1.4671310404875926,0.004971950816839556,0.04986923012048791,6891,88.42596630615027,13.560927372262773
Campania,Pfizer/BioNTech,1221622,1335839,1690739,866722,5712143,16.445363517631694,0.22028733130169786,1.4671310404875926,0.004971950816839556,0.04986923012048791,6891,88.42596630615027,13.560927372262773
Campania,Vaxzevria (AstraZeneca),347370,436366,651563,132173,5712143,16.445363517631694,0.22028733130169786,1.4671310404875926,0.004971950816839556,0.04986923012048791,6891,88.42596630615027,13.560927372262773
Emilia-Romagna,Janssen,38800,36392,75192,0,4464119,17.698055812723183,0.46012432217960586,1.2884539082131994,0.005490256546421075,0.051685302810391465,7561,88.34861775777513,13.006187591240879
Emilia-Romagna,Moderna,114118,153746,160104,107760,4464119,17.698055812723183,0.46012432217960586,1.2884539082131994,0.005490256546421075,0.051685302810391465,7561,88.34861775777513,13.006187591240879
Emilia-Romagna,Pfizer/BioNTech,915294,1145928,1267139,794083,4464119,17.698055812723183,0.46012432217960586,1.2884539082131994,0.005490256546421075,0.051685302810391465,7561,88.34861775777513,13.006187591240879
Emilia-Romagna,Vaxzevria (AstraZeneca),229023,314042,450454,92611,4464119,17.698055812723183,0.46012432217960586,1.2884539082131994,0.005490256546421075,0.051685302810391465,7561,88.34861775777513,13.006187591240879
Friuli-Venezia Giulia,Janssen,9834,10448,20282,0,1206216,17.263859275053306,0.3150319829424307,1.1801705756929637,0.0083681766810181,0.04915357852816438,1876,84.69533059506752,16.21184924812029
Friuli-Venezia Giulia,Moderna,32627,39946,54476,18097,1206216,17.263859275053306,0.3150319829424307,1.1801705756929637,0.0083681766810181,0.04915357852816438,1876,84.69533059506752,16.21184924812029
Friuli-Venezia Giulia,Pfizer/BioNTech,248207,314399,361189,201417,1206216,17.263859275053306,0.3150319829424307,1.1801705756929637,0.0083681766810181,0.04915357852816438,1876,84.69533059506752,16.21184924812029
Friuli-Venezia Giulia,Vaxzevria (AstraZeneca),72808,86617,137548,21877,1206216,17.263859275053306,0.3150319829424307,1.1801705756929637,0.0083681766810181,0.04915357852816438,1876,84.69533059506752,16.21184924812029
Lazio,Janssen,61330,49398,110728,0,5755700,18.64045656309448,0.3832362944601372,1.8765780826655907,0.004863033853769154,0.06372881744324421,17347,88.58950259066157,12.626343065693433
Lazio,Moderna,129431,167823,201192,96062,5755700,18.64045656309448,0.3832362944601372,1.8765780826655907,0.004863033853769154,0.06372881744324421,17347,88.58950259066157,12.626343065693433
Lazio,Pfizer/BioNTech,1123048,1471713,1707895,886866,5755700,18.64045656309448,0.3832362944601372,1.8765780826655907,0.004863033853769154,0.06372881744324421,17347,88.58950259066157,12.626343065693433
Lazio,Vaxzevria (AstraZeneca),403265,415040,648719,169586,5755700,18.64045656309448,0.3832362944601372,1.8765780826655907,0.004863033853769154,0.06372881744324421,17347,88.58950259066157,12.626343065693433
Liguria,Janssen,14109,10617,24726,0,1524826,15.595051445369917,0.3657520823125919,1.1507839294463498,0.010448391552596963,0.07397658480127586,8164,88.40219725580536,12.571691353383457
Liguria,Moderna,40199,55209,53670,41738,1524826,15.595051445369917,0.3657520823125919,1.1507839294463498,0.010448391552596963,0.07397658480127586,8164,88.40219725580536,12.571691353383457
Liguria,Pfizer/BioNTech,318745,420002,435661,303086,1524826,15.595051445369917,0.3657520823125919,1.1507839294463498,0.010448391552596963,0.07397658480127586,8164,88.40219725580536,12.571691353383457
Liguria,Vaxzevria (AstraZeneca),97068,95564,172674,19958,1524826,15.595051445369917,0.3657520823125919,1.1507839294463498,0.010448391552596963,0.07397658480127586,8164,88.40219725580536,12.571691353383457
Lombardia,Janssen,130222,109543,239765,0,10027602,18.33892065142065,0.3698891198891199,1.706384268884269,0.005576758435590873,0.05760590105467889,23088,88.24945465834217,12.15526496350365
Lombardia,Moderna,275034,344496,413204,206326,10027602,18.33892065142065,0.3698891198891199,1.706384268884269,0.005576758435590873,0.05760590105467889,23088,88.24945465834217,12.15526496350365
Lombardia,Pfizer/BioNTech,2005134,2526487,2806044,1725577,10027602,18.33892065142065,0.3698891198891199,1.706384268884269,0.005576758435590873,0.05760590105467889,23088,88.24945465834217,12.15526496350365
Lombardia,Vaxzevria (AstraZeneca),612263,787595,1211254,188604,10027602,18.33892065142065,0.3698891198891199,1.706384268884269,0.005576758435590873,0.05760590105467889,23088,88.24945465834217,12.15526496350365
Marche,Janssen,10379,10399,20778,0,1512672,17.279096699478867,0.32136653155761435,1.1198610306890562,0.006840137928124403,0.051786264931127965,1727,88.03149871421697,11.383271052631581
Marche,Moderna,39442,58946,63136,35252,1512672,17.279096699478867,0.32136653155761435,1.1198610306890562,0.006840137928124403,0.051786264931127965,1727,88.03149871421697,11.383271052631581
Marche,Pfizer/BioNTech,315595,381678,439232,258041,1512672,17.279096699478867,0.32136653155761435,1.1198610306890562,0.006840137928124403,0.051786264931127965,1727,88.03149871421697,11.383271052631581
Marche,Vaxzevria (AstraZeneca),87484,104248,165395,26337,1512672,17.279096699478867,0.32136653155761435,1.1198610306890562,0.006840137928124403,0.051786264931127965,1727,88.03149871421697,11.383271052631581
Molise,Janssen,2323,1924,4247,0,300516,13.670454545454545,0.09659090909090909,0.8011363636363636,0.006591568452669601,0.09893462472925602,352,90.16914739592629,8.697230232558137
Molise,Moderna,8436,9913,13245,5104,300516,13.670454545454545,0.09659090909090909,0.8011363636363636,0.006591568452669601,0.09893462472925602,352,90.16914739592629,8.697230232558137
