date,no. tweets,Select,no_tweets
2021-01-01,33774.0,all tweets,
2021-01-10,33389.0,all tweets,
2021-01-11,29488.0,all tweets,
2021-01-12,29409.0,all tweets,
2021-01-13,23991.0,all tweets,
2021-01-14,22442.0,all tweets,
2021-01-15,27231.0,all tweets,
2021-01-16,31958.0,all tweets,
2021-01-17,25539.0,all tweets,
2021-01-18,35368.0,all tweets,
2021-01-19,42523.0,all tweets,
2021-01-02,58464.0,all tweets,
2021-01-20,21549.0,all tweets,
2021-01-21,21530.0,all tweets,
2021-01-22,27141.0,all tweets,
2021-01-23,23761.0,all tweets,
2021-01-24,39187.0,all tweets,
2021-01-25,32625.0,all tweets,
2021-01-26,23811.0,all tweets,
2021-01-27,23832.0,all tweets,
2021-01-28,23047.0,all tweets,
2021-01-29,22535.0,all tweets,
2021-01-03,83416.0,all tweets,
2021-01-30,18758.0,all tweets,
2021-01-31,21705.0,all tweets,
2021-01-04,74342.0,all tweets,
2021-01-05,53032.0,all tweets,
2021-01-06,45230.0,all tweets,
2021-01-07,23183.0,all tweets,
2021-01-08,24790.0,all tweets,
2021-01-09,25168.0,all tweets,
2021-02-01,28154.0,all tweets,
2021-02-10,19670.0,all tweets,
2021-02-11,17843.0,all tweets,
2021-02-12,18449.0,all tweets,
2021-02-13,12037.0,all tweets,
2021-02-14,16725.0,all tweets,
2021-02-15,26952.0,all tweets,
2021-02-16,25227.0,all tweets,
2021-02-17,25846.0,all tweets,
2021-02-18,26291.0,all tweets,
2021-02-19,28973.0,all tweets,
2021-02-02,31132.0,all tweets,
2021-02-20,26784.0,all tweets,
2021-02-21,25769.0,all tweets,
2021-02-22,30366.0,all tweets,
2021-02-23,34142.0,all tweets,
2021-02-24,39286.0,all tweets,
2021-02-25,36781.0,all tweets,
2021-02-26,44673.0,all tweets,
2021-02-27,38237.0,all tweets,
2021-02-28,36932.0,all tweets,
2021-02-03,16751.0,all tweets,
2021-02-04,16084.0,all tweets,
2021-02-05,14466.0,all tweets,
2021-02-06,10754.0,all tweets,
2021-02-07,13978.0,all tweets,
2021-02-08,16234.0,all tweets,
2021-02-09,19171.0,all tweets,
2021-03-01,42007.0,all tweets,
2021-03-10,52245.0,all tweets,
2021-03-11,95890.0,all tweets,
2021-03-12,87389.0,all tweets,
2021-03-13,68485.0,all tweets,
2021-03-14,90007.0,all tweets,
2021-03-15,127686.0,all tweets,
2021-03-16,114547.0,all tweets,
2021-03-17,72985.0,all tweets,
2021-03-18,69913.0,all tweets,
2021-03-19,58345.0,all tweets,
2021-03-02,45552.0,all tweets,
2021-03-20,46249.0,all tweets,
2021-03-21,68668.0,all tweets,
2021-03-22,76846.0,all tweets,
2021-03-23,62987.0,all tweets,
2021-03-24,56134.0,all tweets,
2021-03-25,50467.0,all tweets,
2021-03-26,49032.0,all tweets,
2021-03-27,41662.0,all tweets,
2021-03-28,43721.0,all tweets,
2021-03-29,55043.0,all tweets,
2021-03-03,42908.0,all tweets,
2021-03-30,52060.0,all tweets,
2021-03-31,50580.0,all tweets,
2021-03-04,47996.0,all tweets,
2021-03-05,39995.0,all tweets,
2021-03-06,27944.0,all tweets,
2021-03-07,28256.0,all tweets,
